scanname,Scan008
1898.0783690000001,162
1899.4305420000001,174
1900.781616,179
1902.131836,196
1903.4814449999999,174
1904.8302000000001,168
1906.1779790000001,141
1907.525269,174
1908.871582,183
1910.2170410000001,189
1911.5616460000001,213
1912.9056399999999,186
1914.2489009999999,159
1915.591064,180
1916.9326169999999,181
1918.2734379999999,186
1919.6134030000001,146
1920.9525149999999,150
1922.2907709999999,179
1923.628418,159
1924.9650879999999,165
1926.3007809999999,188
1927.6362300000001,164
1928.970581,213
1930.304077,150
1931.6367190000001,172
1932.9689940000001,155
1934.3001710000001,175
1935.630371,148
1936.959961,165
1938.2889399999999,149
1939.6166989999999,157
1940.944092,167
1942.27063,172
1943.5961910000001,142
1944.9210210000001,138
1946.2451169999999,150
1947.568481,177
1948.890991,160
1950.2126459999999,201
1951.5335689999999,141
1952.8538820000001,196
1954.1729740000001,165
1955.4916989999999,198
1956.809448,195
1958.1264650000001,156
1959.4426269999999,198
1960.7579350000001,135
1962.0726320000001,195
1963.386475,174
1964.6995850000001,191
1966.0120850000001,168
1967.3236079999999,173
1968.634155,151
1969.9442140000001,179
1971.253418,172
1972.561768,146
1973.869385,186
1975.1762699999999,186
1976.482422,158
1977.7873540000001,180
1979.0920410000001,158
1980.395996,161
1981.6988530000001,178
1983.0009769999999,139
1984.302246,164
1985.603149,160
1986.9027100000001,186
1988.2020259999999,150
1989.5004879999999,159
1990.7979740000001,148
1992.094482,120
1993.3905030000001,176
1994.6857910000001,129
1995.9804690000001,122
1997.274048,159
1998.5668949999999,141
1999.8592530000001,145
2001.150269,128
2002.4411620000001,162
2003.7308350000001,139
2005.0201420000001,110
2006.3079829999999,140
2007.595703,139
2008.8826899999999,120
2010.1685789999999,110
2011.4536129999999,117
2012.738159,151
2014.022095,110
2015.3046879999999,116
2016.5870359999999,139
2017.86853,156
2019.1491699999999,142
2020.4289550000001,159
2021.7080080000001,123
2022.986572,140
2024.2639160000001,129
2025.5407709999999,159
2026.8170170000001,123
2028.0924070000001,117
2029.3668210000001,136
2030.6405030000001,126
2031.9139399999999,134
2033.1860349999999,136
2034.4575199999999,110
2035.7282709999999,123
2036.998413,114
2038.2673339999999,144
2039.5361330000001,100
2040.803711,160
2042.070923,138
2043.336914,107
2044.602539,107
2045.8673100000001,112
2047.1311040000001,137
2048.3942870000001,152
2049.6567380000001,98
2050.9184570000002,139
2052.179443,145
2053.4396969999998,135
2054.6989749999998,111
2055.9580080000001,124
2057.2155760000001,130
2058.4729000000002,130
2059.7294919999999,97
2060.9848630000001,126
2062.23999,104
2063.4941410000001,133
2064.7478030000002,112
2066.0004880000001,82
2067.2524410000001,120
2068.5036620000001,116
2069.7539059999999,88
2071.0036620000001,122
2072.2526859999998,106
2073.501221,70
2074.7485350000002,99
2075.9953609999998,145
2077.241211,108
2078.4865719999998,94
2079.7309570000002,135
2080.9748540000001,86
2082.218018,111
2083.4602049999999,116
2084.7016600000002,107
2085.9426269999999,86
2087.1828609999998,120
2088.421875,103
2089.6604000000002,124
2090.8984380000002,91
2092.1352539999998,83
2093.3718260000001,112
2094.6076659999999,90
2095.842529,87
2097.0764159999999,112
2098.3098140000002,122
2099.5429690000001,103
2100.7746579999998,108
2102.0058589999999,86
2103.236328,139
2104.4660640000002,110
2105.695068,133
2106.9233399999998,88
2108.1511230000001,88
2109.3776859999998,97
2110.60376,95
2111.8291020000001,102
2113.0539549999999,92
2114.2775879999999,111
2115.500732,99
2116.7233890000002,114
2117.945068,105
2119.1660160000001,114
2120.3864749999998,94
2121.6059570000002,100
2122.8247070000002,113
2124.0427249999998,114
2125.26001,122
2126.4765630000002,120
2127.6923830000001,106
2128.907471,82
2130.1220699999999,121
2131.3359380000002,98
2132.548828,120
2133.7609859999998,52
2134.9726559999999,116
2136.1831050000001,63
2137.3933109999998,102
2138.602539,104
2139.811279,94
2141.0192870000001,75
2142.226318,98
2143.4331050000001,106
2144.6389159999999,92
2145.8435060000002,113
2147.048096,124
2148.2514649999998,85
2149.454346,101
2150.6564939999998,120
2151.8579100000002,117
2153.0588379999999,100
2154.258789,74
2155.4577640000002,71
2156.6564939999998,70
2157.8542480000001,106
2159.0515140000002,101
2160.2478030000002,75
2161.4436040000001,58
2162.6384280000002,83
2163.8325199999999,103
2165.0263669999999,98
2166.2192380000001,76
2167.4111330000001,85
2168.602539,66
2169.7934570000002,94
2170.983154,104
2172.172607,84
2173.3610840000001,104
2174.5490719999998,68
2175.7360840000001,83
2176.9223630000001,68
2178.108154,107
2179.2929690000001,114
2180.477539,68
2181.6608890000002,96
2182.84375,72
2184.0258789999998,78
2185.2075199999999,61
2186.3881839999999,100
2187.5683589999999,72
2188.7475589999999,80
2189.9265140000002,75
2191.1042480000001,84
2192.2814939999998,107
2193.4577640000002,108
2194.6340329999998,52
